Number of arrivals,,,,
Source: MarineTraffic,,,,
,,,,
PORT,COMFLEET_GROUPEDTYPE,YEAR,ARRIVALS,COUNTRY
DOUALA,DRY BULK,2022,127,Cameroon
DOUALA,CONTAINER SHIPS,2022,115,Cameroon
DOUALA,DRY BULK,2023,97,Cameroon
DOUALA,WET BULK,2022,96,Cameroon
DOUALA,DRY BREAKBULK,2022,96,Cameroon
DOUALA,CONTAINER SHIPS,2023,73,Cameroon
DOUALA,WET BULK,2023,73,Cameroon
DOUALA,DRY BREAKBULK,2023,64,Cameroon
DOUALA,RO/RO,2022,36,Cameroon
DOUALA,RO/RO,2023,24,Cameroon
DOUALA,LPG CARRIERS,2022,17,Cameroon
DOUALA,LPG CARRIERS,2023,9,Cameroon
KRIBI DEEPWATER PORT,CONTAINER SHIPS,2022,93,Cameroon
KRIBI DEEPWATER PORT,CONTAINER SHIPS,2023,57,Cameroon
KRIBI DEEPWATER PORT,DRY BULK,2022,25,Cameroon
KRIBI DEEPWATER PORT,DRY BREAKBULK,2022,19,Cameroon
KRIBI DEEPWATER PORT,DRY BREAKBULK,2023,15,Cameroon
KRIBI DEEPWATER PORT,DRY BULK,2023,10,Cameroon
KRIBI DEEPWATER PORT,CONTAINER SHIPS,2018,5,Cameroon
KRIBI DEEPWATER PORT,CONTAINER SHIPS,2019,147,Cameroon
KRIBI DEEPWATER PORT,CONTAINER SHIPS,2020,200,Cameroon
KRIBI DEEPWATER PORT,CONTAINER SHIPS,2021,175,Cameroon
KRIBI DEEPWATER PORT,CONTAINER SHIPS,2022,196,Cameroon
KRIBI DEEPWATER PORT,CONTAINER SHIPS,2023,103,Cameroon
KRIBI DEEPWATER PORT,DRY BREAKBULK,2018,3,Cameroon
KRIBI DEEPWATER PORT,DRY BREAKBULK,2019,68,Cameroon
KRIBI DEEPWATER PORT,DRY BREAKBULK,2020,47,Cameroon
KRIBI DEEPWATER PORT,DRY BREAKBULK,2021,58,Cameroon
KRIBI DEEPWATER PORT,DRY BREAKBULK,2022,45,Cameroon
KRIBI DEEPWATER PORT,DRY BREAKBULK,2023,22,Cameroon
KRIBI DEEPWATER PORT,DRY BULK,2018,1,Cameroon
KRIBI DEEPWATER PORT,DRY BULK,2019,18,Cameroon
KRIBI DEEPWATER PORT,DRY BULK,2020,18,Cameroon
KRIBI DEEPWATER PORT,DRY BULK,2021,17,Cameroon
KRIBI DEEPWATER PORT,DRY BULK,2022,48,Cameroon
KRIBI DEEPWATER PORT,DRY BULK,2023,22,Cameroon
KRIBI DEEPWATER PORT,WET BULK,2020,1,Cameroon
PIRAEUS,CONTAINER SHIPS,2022,1525,Greece
PIRAEUS,CONTAINER SHIPS,2023,833,Greece
PIRAEUS,RO/RO,2022,477,Greece
PIRAEUS,RO/RO,2023,255,Greece
PIRAEUS,DRY BULK,2022,186,Greece
PIRAEUS,DRY BREAKBULK,2022,71,Greece
PIRAEUS,WET BULK,2022,48,Greece
PIRAEUS,DRY BREAKBULK,2023,42,Greece
PIRAEUS,DRY BULK,2023,31,Greece
PIRAEUS,WET BULK,2023,29,Greece
PIRAEUS,CONTAINER SHIPS,2016,2673,Greece
PIRAEUS,CONTAINER SHIPS,2017,2966,Greece
PIRAEUS,CONTAINER SHIPS,2018,3215,Greece
PIRAEUS,CONTAINER SHIPS,2019,3236,Greece
PIRAEUS,CONTAINER SHIPS,2020,3172,Greece
PIRAEUS,CONTAINER SHIPS,2021,2901,Greece
PIRAEUS,CONTAINER SHIPS,2022,2807,Greece
PIRAEUS,CONTAINER SHIPS,2023,1430,Greece
PIRAEUS,DRY BREAKBULK,2016,303,Greece
PIRAEUS,DRY BREAKBULK,2017,199,Greece
PIRAEUS,DRY BREAKBULK,2018,172,Greece
PIRAEUS,DRY BREAKBULK,2019,192,Greece
PIRAEUS,DRY BREAKBULK,2020,159,Greece
PIRAEUS,DRY BREAKBULK,2021,182,Greece
PIRAEUS,DRY BREAKBULK,2022,287,Greece
PIRAEUS,DRY BREAKBULK,2023,95,Greece
PIRAEUS,DRY BULK,2016,141,Greece
PIRAEUS,DRY BULK,2017,100,Greece
PIRAEUS,DRY BULK,2018,109,Greece
PIRAEUS,DRY BULK,2019,97,Greece
PIRAEUS,DRY BULK,2020,120,Greece
PIRAEUS,DRY BULK,2021,115,Greece
PIRAEUS,DRY BULK,2022,280,Greece
PIRAEUS,DRY BULK,2023,84,Greece
PIRAEUS,LPG CARRIERS,2016,6,Greece
PIRAEUS,LPG CARRIERS,2017,4,Greece
PIRAEUS,LPG CARRIERS,2018,3,Greece
PIRAEUS,LPG CARRIERS,2019,3,Greece
PIRAEUS,LPG CARRIERS,2021,1,Greece
PIRAEUS,LPG CARRIERS,2022,1,Greece
PIRAEUS,RO/RO,2016,847,Greece
PIRAEUS,RO/RO,2017,994,Greece
PIRAEUS,RO/RO,2018,921,Greece
PIRAEUS,RO/RO,2019,933,Greece
PIRAEUS,RO/RO,2020,892,Greece
